Country,Date-of-Decision,Fine-Amount,Quoted-Art
SPAIN,2020-02-03,"60,000","Art. 5 GDPR, Art. 6 GDPR, According to the data protection authority, XFERA MOVILES has violated Article 6(1) of the GDPR, as the company has unlawfully processed data, including bank details, customer address and name of the data subjects."
SPAIN,2020-02-03,"75,000","Art. 5 GDPR, Art. 6 GDPR"
SPAIN,2020-02-03,"60,000","Art. 5 GDPR, Art. 6 GDPR"
SPAIN,2020-02-03,"50,000",Art. 5 GDPR
SPAIN,2020-02-03,"20,000","Art. 5 GDPR, Art. 6 GDPR, Art. 21 GDPR"
SPAIN,2020-02-03,"75,000","Art. 5 GDPR, Art. 6 GDPR"
SPAIN,2020-02-03,"6,670","Art. 5 GDPR, Art. 6 GDPR, Art. 21 GDPR"
SPAIN,2020-02-03,"5,000","Art. 5 GDPR, Art. 6 GDPR"
SPAIN,2020-02-03,800,"Art. 5 GDPR, Art. 6 GDPR"
SPAIN,2020-02-04,"1,500","Art. 5 GDPR, Art. 6 GDPR, The AEPD found that the Nagasaki Cafetería did not comply with its obligations under the GDPR, as it placed its surveillance cameras in such a way as to monitor the public space outside its premises, which disproportionately affected pedestrians."
ITALY,2020-01-15,"10,000","Art. 5 GDPR, Art. 6 GDPR"
GERMANY,,2019,Art. 37 GDPR
GERMANY,,2019,"Art. 33 GDPR, Art. 34 GDPR"
GERMANY,,2019,Art. 21 GDPR
SPAIN,2020-02-14,"2,500",Art. 5 (1) f) GDPR
SPAIN,2020-02-14,"3,000",Art. 6 GDPR
SPAIN,2020-02-18,"1,500",Art. 13 GDPR
SPAIN,2020-02-14,"80,000",Art. 6 GDPR
SPAIN,2020-02-14,"42,000","Art. 5 (1) f) GDPR, Art. 32 GDPR"
SPAIN,2020-02-14,"30,000","Art. 5 (1) f) GDPR, Art. 32 GDPR"
ITALY,2020-01-23,"30,000","Art. 5 (1) f) GDPR, Art. 32 GDPR"
ITALY,2020-01-23,"30,000","Art. 5 (1) f) GDPR, Art. 32 GDPR"
SPAIN,2020-02-27,"120,000","Art. 5 GDPR, Art. 6 GDPR"
SPAIN,2020-02-28,"48,000",Art. 32 GDPR
SPAIN,2020-02-25,"48,000","Art. 5 GDPR, Art. 6 GDPR, The data subject stated that at the time of his admission to hospital he had to fill in a form containing a checkbox indicating that, if he did not tick it, he agreed to the transfer of his data to third parties. This form, provided by HM, was not compatible with the GDPR, since consent was to be obtained through the inactivity of the data subject."
SPAIN,2020-02-25,"6,000",Art. 5 (1) c) GDPR
THE NETHERLANDS,2020-03-03,"525,000","Art. 5 GDPR, Art. 6 GDPR"
SPAIN,2020-02-28,"3,600",Art. 5 (1) f) GDPR
SPAIN,2020-03-03,"1,800",Art. 13 GDPR
SPAIN,2020-03-03,"42,000","Art. 5 (1) f) GDPR, Art. 32 GDPR"
SPAIN,2020-03-03,"40,000","Art. 5 GDPR, Art. 6 GDPR"
SPAIN,2020-03-03,"24,000","Art. 5 GDPR, Art. 6 GDPR"
POLAND,2020-03-04,,"Art. 5 GDPR, Art. 9 GDPR"
SPAIN,2020-03-04,"60,000","Art. 5 GDPR, Art. 6 GDPR"
ITALY,2020-03-06,"4,000","Art. 5 GDPR, Art. 6 GDPR, Art. 9 GDPR"
ITALY,2020-03-06,"4,000","Art. 5 GDPR, Art. 6 GDPR, Art. 9 GDPR"
SPAIN,2020-03-06,"4,000",Art. 5 GDPR
SPAIN,2020-03-09,"15,000",Art. 5 (1) f) GDPR
DENMARK,2020-03-10,"7,000","Art. 5 (1) f) GDPR, Art. 32 GDPR"
DENMARK,2020-03-10,"14,000","Art. 5 (1) f) GDPR, Art. 32 GDPR"
SWEDEN,2020-03-11,"5,000,000","Art. 5 GDPR, Art. 6 GDPR, Art. 17 GDPR"
ICELAND,2020-03-10,"20,600","Art. 5 (1) f) GDPR, Art. 32 GDPR"
ICELAND,2020-03-10,"9,000","Art. 5 (1) f) GDPR, Art. 32 GDPR, In violation of Art. 32 GDPR, a teacher had sent an e-mail to his students and their parents with an attachment containing data on their well-being, academic performance and social conditions."
NORWAY,2020-02-26,,"Art. 5 (1) f) GDPR, Art. 32 GDPR, On February 26, 2020, the Norwegian DPA (Datatilsynet) announced that it intents to fine Rælingen Municipality EUR 73,600  for violations of Art. 5 (1) f) GDPR and Art. 32 GDPR . This fine has been imposed in the meantime, see details at link"
GERMANY,,2019,Art. 5 (1) c) GDPR
NORWAY,2020-02-28,,"Art. 5 GDPR, Art. 6 GDPR, On February 28, 2020, the Norwegian DPA (Datatilsynet) announced that it intents to fine Coop Finnmark SA EUR 38,600 for violations of Art. 5 GDPR and Art. 6 GDPR . This fine has been imposed in the meantime, see details at link"
GERMANY,2019-08-05,200,"Art. 5 GDPR, Art. 6 GDPR"
CROATIA,2020-03-13,,"Art. 15 (1), (3) GDPR"
SPAIN,2020-03-18,"30,000",Art. 58 GDPR
ROMANIA,2020-02-11,"3,000","Art. 5 (1) f) GDPR, Art. 32 GDPR"
GREECE,2020-02-21,"5,000",Art. 15 GDPR
SPAIN,2020-03-16,"5,000","Art. 5 (1) f) GDPR, Centro De Estudio Dirigidos Delta sent a message containing personal data such as first and last name and ID numbers to a third party via WhatsApp without the consent of the data subjects. This constitutes a violation of the principles of integrity and confidentiality under Article 5(1)(f) GDPR."
SPAIN,2020-03-16,"4,000","Art. 5 GDPR, Art. 6 GDPR"
SPAIN,2020-03-06,"3,200","Art. 13 GDPR, Art. 14 GDPR"
SPAIN,2020-03-12,"2,000","Art. 5 GDPR, Art. 13 GDPR, Art. 14 GDPR"
SPAIN,2020-03-16,"6,000","Art. 5 GDPR, Art. 13 GDPR, Art. 14 GDPR"
SPAIN,2020-03-19,"6,000","Art. 5 GDPR, Art. 6 GDPR"
ITALY,2020-02-06,"20,000","Art. 5 GDPR, Art. 6 GDPR"
GREECE,2020-03-20,"8,000","Art. 15 GDPR, Art. 58 GDPR"
HUNGARY,2019-05-21,286,Art. 33 GDPR
HUNGARY,2019-05-31,"2,000","Art. 12 (3), (4), (5) GDPR, Art. 15 GDPR, Art. 18 GDPR"
HUNGARY,2019-06-03,"2,850","Art. 5 GDPR, Art. 6 GDPR"
HUNGARY,2019-06-26,"2,850","Art. 5 GDPR, Art. 6 GDPR, Art. 17 GDPR"
HUNGARY,2019-06-26,"2,850","Art. 5 GDPR, Art. 6 GDPR, Art. 21 GDPR"
HUNGARY,2019-07-17,"8,575","Art. 5 GDPR, Art. 6 GDPR"
HUNGARY,2019-08-02,"4,290","Art. 5 GDPR, Art. 6 GDPR, Art. 13 GDPR"
HUNGARY,2019-08-08,"1,715","Art. 5 GDPR, Art. 14 GDPR"
HUNGARY,2019-10-15,"2,860","Art. 5 GDPR, Art. 6 GDPR, Art. 13 GDPR, Art. 24 GDPR, Art. 25 GDPR"
HUNGARY,2020-03-04,290,"Art. 5 GDPR, Art. 6 GDPR, Art. 12 GDPR, Art. 15 GDPR, Art. 17 GDPR"
ROMANIA,2020-03-25,"2,000",Art. 58 GDPR
ROMANIA,2020-03-25,"3,000",Art. 32 GDPR
ROMANIA,2020-03-25,"4,150",Art. 32 GDPR
ROMANIA,2020-03-25,"3,000","Art. 6 GDPR, Art. 21 GDPR"
ITALY,2020-02-13,"4,000","Art. 5 GDPR, Art. 6 GDPR"
SPAIN,2020-03-25,"5,000",Art. 58 GDPR
POLAND,2020-03-09,"4,400","Art. 31 GDPR, Art. 58 GDPR, The company prevented an inspection by the data protection authority. As a result, the company has violated Article 31 in conjunction with Article 58(1)(e) and (f) of the GDPR."
BULGARIA,2020-02-20,"2,560","Art. 25 (1) GDPR, Art. 32 GDPR"
BULGARIA,2020-02-20,"2,560","Art. 25 (1) GDPR, Art. 32 GDPR, Art. 6 GDPR"
BULGARIA,2020-01-06,"5,110",Art. 6 (1) GDPR
GERMANY,,2019,"Art. 15 GDPR, Art. 28 GDPR, The data controller had engaged an external company to carry out the duties of access to data according to Art. 15 GDPR. However, the engaged company conducted the correspondence with the data subjects under its own logo and in English language, so that it was not apparent to the data subjects who was responsible for the data processing. As a result, the data controller infringed the principle of transparency laid down in Art. 12 GDPR and did not sufficiently fulfil its obligations to provide information in accordance with Art. 15 GDPR. In addition, the data protection supervisory authority found that no written contract for data processing had been concluded between the data controller and the external company, thus constituting a further breach of Art. 28 (9) GDPR."
BELGIUM,2020-04-28,"50,000","Art. 31 GDPR, Art. 58 GDPR, Art. 37 GDPR"
SWEDEN,2020-04-29,"18,700","Art. 33 GDPR, Art. 34 GDPR"
THE NETHERLANDS,2020-04-30,"725,000","Art. 5 GDPR, Art. 9 GDPR"
ROMANIA,2020-05-05,"5,000",Art. 32 GDPR
SWEDEN,2020-05-12,"11,200","Art. 5 GDPR, Art. 6 GDPR"
DENMARK,2020-05-15,"6,700",Art. 15 GDPR
IRELAND,2020-05-17,"75,000","Art. 5 GDPR, Art. 6 GDPR"
FINLAND,2020-05-22,"100,000","Art. 12 GDPR, Art. 13 GDPR, Art. 14 GDPR, Art. 15 GDPR"
FINLAND,2020-05-22,"16,000",Art. 35 GDPR
FINLAND,2020-05-22,"12,500","Art. 5 GDPR, Art. 6 GDPR"
BELGIUM,2020-05-29,"1,000","Art. 6 GDPR, Art. 21 GDPR"
FINLAND,2020-05-29,"72,000","Art. 5 GDPR, Art. 6 GDPR, Art. 35 GDPR, Among other things, the company had not assessed the risks and consequences of processing personal data before introducing a camera surveillance system that records audio and video in its taxis and had also failed to conduct data protection impact assessments of its processing activities, including the surveillance of security cameras, the processing of location data, automated decision making and profiling as part of its loyalty program. Furthermore, the processing of audio data was not in line with the GDPR principle of data minimization."
HUNGARY,2020-03-09,870,"Art. 5 GDPR, Art. 6 GDPR"
SPAIN,2020-06-09,"5,000","Art. 5 GDPR, Art. 6 GDPR"
SPAIN,2020-06-09,540,"Art. 13 GDPR, Art. 14 GDPR"
SPAIN,2020-06-09,"1,000",Art. 5 (1) c) GDPR
SPAIN,2020-06-09,"75,000","Art. 15 GDPR, The Data Subject has requested by e-mail the deletion of his data from the file of the National Association of Financial Credit Institutions ('ASNEF'). Equifax Iberica had replied that the exercise of the complainant's right was excessive due to an earlier request and that therefore the deletion would not be carried out. This was seen as a breach of data subjects rights for erasure under the GDPR as well as a breach of blocking obligations under national data protection laws."
SPAIN,2020-06-09,"39,000",Art. 5 (1) f) GDPR
SPAIN,2020-06-09,"25,000",Art. 37 GDPR
SPAIN,2020-06-04,"4,000","Art. 58 GDPR, The company was asked to provide the AEPD with specific information in relation to a complaint. However, the company had not replied to the data protection authorities request for information within a certain time frame, in breach of Art. 58 of the GDPR."
NORWAY,2020-09-03,"276,000","Art. 5 (1) f) GDPR, Art. 32 GDPR"
SPAIN,2020-06-09,"40,000",Art. 6 GDPR
NORWAY,2020-05-03,"134,000",Art. 32 GDPR
BULGARIA,2020-04-14,"2,000",Art. 6 GDPR
BELGIUM,2020-05-14,"50,000",Art. 6 GDPR
ROMANIA,2020-04-23,"3,000","Art. 6 GDPR, Art. 7 GDPR, Art. 9 GDPR"
SPAIN,2020-06-09,"3,000","Art. 13 GDPR, Art. 14 GDPR"
SPAIN,2020-06-09,"2,000",Art. 32 GDPR
SPAIN,2020-06-09,"2,000",Art. 5 (1) c) GDPR
ROMANIA,2020-04-23,"3,000",Art. 32 GDPR
ESTONIA,2020-04-30,500,Art. 6 GDPR
HUNGARY,2020-03-26,"2,890","Art. 5 GDPR, Art. 6 GDPR"
HUNGARY,2020-03-19,"5,800","Art. 6 GDPR, Art. 15 GDPR"
HUNGARY,2020-01-24,"1,450","Art. 24 GDPR, Art. 32 GDPR"
GERMANY,2020-06-30,"1,240,000","Art. 5 GDPR, Art. 6 GDPR, Art. 32 GDPR"
SPAIN,2020-06-23,"7,500","Art. 5 GDPR, Art. 6 GDPR"
SPAIN,2020-06-22,"2,000","Art. 5 GDPR, Art. 6 GDPR, Art. 13 GDPR, Art. 14 GDPR"
SPAIN,2020-06-16,"2,000","Art. 5 GDPR, Art. 6 GDPR, Art. 13 GDPR, Art. 14 GDPR"
ROMANIA,2020-06-18,"4,000",Art. 32 GDPR
SPAIN,2020-06-15,"75,000","Art. 6 GDPR, The data subject received a notice from a debt collection company demanding payments in connection with Xfera Móviles' services, even though the claimant had not been a customer of Xfera Móviles since September 2017. Furthermore, the resolution states that Xfera Móviles carried out the processing of the personal data of the plaintiff without his consent, which constitutes a violation of Article 6 of the GDPR."
ROMANIA,2020-06-11,"3,000","Art. 32 GDPR, Inadequate security measures of the company had led to unlawful processing of personal data without verifying their accuracy. For this reason, a fine was imposed on Telekom Romania for violation of Article 32 of the GDPR, and the introduction of effective mechanisms to identify and protect data from unauthorised disclosure and unlawful processing is ordered to ensure compliance with the GDPR."
HUNGARY,2020-06-12,"288,000","Art. 5 (1) b), (e) GDPR, Art. 32 (1), (2) GDPR"
SWEDEN,2020-06-16,"1,900","Art. 5 GDPR, Art. 6 GDPR"
BELGIUM,2020-06-19,"10,000","Art. 5 GDPR, Art. 6 GDPR, Art. 15 GDPR"
BELGIUM,2020-06-16,"1,000","Art. 17 GDPR, Art. 21 GDPR, Art. 31 GDPR"
BELGIUM,2020-06-08,"5,000","Art. 5 GDPR, Art. 6 GDPR"
ISLE OF MAN,2020-06-25,"13,500","Art. 12 GDPR, Art. 15 GDPR, Fines for failure to comply with the right of access to personal data under Articles 12 and 15 GDPR. The Isle of Man has declared the GDPR - although it is not an EU state - to be applicable."
DENMARK,2020-06-30,"6,700","Art. 5 GDPR, Art. 6 GDPR, Art. 33 GDPR, Art. 34 GDPR"
IRELAND,2020-06-30,"40,000",Art. 33 GDPR
NORWAY,2020-06-22,"112,000","Art. 32 GDPR, It was found that Østfold HF Hospital had stored patient data, including sensitive data such as the reason for hospitalisation, during the period 2013-2019 without controlling access to the folders where the data was stored. Datatilsynet therefore decided that the hospital had not taken sufficient technical and organisational measures to protect personal data and was therefore in breach of the GDPR and the Patient Records Act."
NORWAY,2020-06-19,,"Art. 5 GDPR, Art. 6 GDPR, On June 19, 2020, the Norwegian DPA (Datatilsynet) announced that it intents to fine Aquateknikk AS  EUR 28,000 for violations of Art. 5 GDPR and Art. 6 GDPR . This fine has been imposed in the meantime, see details at link"
SPAIN,2020-06-19,"6,000","Art. 5 GDPR, Art. 6 GDPR"
ITALY,2020-01-30,"4,000","Art. 5 GDPR, Art. 6 GDPR"
ITALY,2020-03-05,"3,000","Art. 5 GDPR, Art. 6 GDPR, Art. 17 GDPR"
SPAIN,2020-07-02,"24,000",Art. 5 GDPR
SPAIN,2020-07-02,"4,000",Art. 21 GDPR
NORWAY,2020-07-02,,"Art. 5 GDPR, Art. 6 GDPR, On July 2, 2020, the Norwegian DPA (Datatilsynet) announced that it intents to fine Odin Flissenter AS EUR 28,000 for violations of Art. 5 GDPR and Art. 6 GDPR. This fine has been imposed in the meantime, see details at link"
SPAIN,2020-07-02,"3,600",Art. 33 GDPR
SPAIN,2020-07-02,"5,000","Art. 31 GDPR, Art. 58 GDPR"
ROMANIA,2020-07-09,"15,000",Art. 32 GDPR
POLAND,2020-07-10,"3,400","Art. 31 GDPR, Art. 58 GDPR"
NORWAY,2020-07-10,"46,660","Art. 32 GDPR, Art. 35 GDPR, Fine for the processing of children's health data in connection with disability through the digital learning platform 'Showbie'. The Municipality had failed to carry out a Data Protection Impact Assessment ('DPIA') in accordance with Article 35 of the General Data Protection Regulation (Regulation (EU) 2016/679) ('GDPR') prior to the start of the processing and had not taken adequate technical and organisational measures in accordance with Article 32 of the GDPR, resulting in an increased risk of unauthorised access to the personal data of the pupils."
